indu,size,risk,credlim,n,wotot,wotot_mr,expneed,exprev,cum_n,cum_wotot,cum_wotot_mr,cum_expneed,cum_exprev,over_n,over_wotot,over_wotot_mr,over_expneed,over_exprev
N1,S6,L,2,17,28.32072004,16.99243203,24167,604.175,52,42.50275976,25.50165586,36269,906.725,87,1232.865971,739.7195825,1052045,26301.125
N1,S6,L,3,5,15.07618088,9.045708528,12865,321.625,57,57.57894064,34.54736439,49134,1228.35,70,1204.545251,722.7271505,1027878,25696.95
N1,S6,L,4,16,76.55746761,45.93448056,65329,1633.225,73,134.1364082,80.48184495,114463,2861.575,65,1189.46907,713.6814419,1015013,25375.325
N1,S6,L,7,9,61.02777083,36.6166625,52077,1301.925,82,195.1641791,117.0985074,166540,4163.5,49,1112.911602,667.7469614,949684,23742.1
N1,S6,L,10,16,160.8282211,96.49693264,137240,3431,98,355.9924001,213.5954401,303780,7594.5,40,1051.883831,631.1302989,897607,22440.175
N1,S6,L,20,11,189.6645664,113.7987399,161847,4046.175,109,545.6569666,327.3941799,465627,11640.675,24,891.0556104,534.6333662,760367,19009.175
N1,S6,L,50,9,330.369338,198.2216028,281915,7047.875,118,876.0263045,525.6157827,747542,18688.55,13,701.391044,420.8346264,598520,14963
N1,S6,L,100,3,246.1021001,147.6612601,210007,5250.175,121,1122.128405,673.2770428,957549,23938.725,4,371.021706,222.6130236,316605,7915.125
N1,S6,L,200,1,124.9196059,74.95176352,106598,2664.95,122,1247.048011,748.2288063,1064147,26603.675,1,124.9196059,74.95176352,106598,2664.95
N2,S0,H,1,287,3549.861894,2129.917136,118181,1181.81,287,3549.861894,2129.917136,118181,1181.81,1210,570733.9338,342440.3603,19000713,190007.13
N2,S0,H,2,146,6427.604668,3856.562801,213986,2139.86,433,9977.466561,5986.479937,332167,3321.67,923,567184.0719,340310.4432,18882532,188825.32
N2,S0,H,3,106,7975.046601,4785.027961,265503,2655.03,539,17952.51316,10771.5079,597670,5976.7,777,560756.4673,336453.8804,18668546,186685.46
N2,S0,H,4,145,16968.60478,10181.16287,564914,5649.14,684,34921.11795,20952.67077,1162584,11625.84,671,552781.4207,331668.8524,18403043,184030.43
N2,S0,H,7,88,15769.71801,9461.830806,525001,5250.01,772,50690.83596,30414.50157,1687585,16875.85,526,535812.8159,321487.6895,17838129,178381.29
N2,S0,H,10,95,23980.10843,14388.06506,798339,7983.39,867,74670.94439,44802.56663,2485924,24859.24,438,520043.0979,312025.8587,17313128,173131.28
N2,S0,H,20,142,59520.62968,35712.37781,1981544,19815.44,1009,134191.5741,80514.94444,4467468,44674.68,343,496062.9895,297637.7937,16514789,165147.89
N2,S0,H,50,117,109671.9921,65803.19527,3651169,36511.69,1126,243863.5662,146318.1397,8118637,81186.37,201,436542.3598,261925.4159,14533245,145332.45
N2,S0,H,100,53,116618.765,69971.25897,3882439,38824.39,1179,360482.3312,216289.3987,12001076,120010.76,84,326870.3676,196122.2206,10882076,108820.76
N2,S0,H,200,21,82304.25434,49382.5526,2740050,27400.5,1200,442786.5855,265671.9513,14741126,147411.26,31,210251.6027,126150.9616,6999637,69996.37
N2,S0,H,500,7,61035.81134,36621.4868,2031987,20319.87,1207,503822.3968,302293.4381,16773113,167731.13,10,127947.3483,76768.40901,4259587,42595.87
N2,S0,H,999,3,66911.537,40146.9222,2227600,22276,1210,570733.9338,342440.3603,19000713,190007.13,3,66911.537,40146.9222,2227600,22276
N2,S0,M,1,126,554.8949857,332.9369914,43318,433.18,126,554.8949857,332.9369914,43318,433.18,529,98418.96105,59051.37663,7683098,76830.98
N2,S0,M,2,58,1082.005512,649.203307,84467,844.67,184,1636.900497,982.1402985,127785,1277.85,403,97864.06607,58718.43964,7639780,76397.8
N2,S0,M,3,36,1111.18624,666.7117439,86745,867.45,220,2748.086737,1648.852042,214530,2145.3,345,96782.06056,58069.23633,7555313,75553.13
N2,S0,M,4,57,2948.342366,1769.005419,230163,2301.63,277,5696.429103,3417.857462,444693,4446.93,309,95670.87432,57402.52459,7468568,74685.68
N2,S0,M,7,45,3419.435629,2051.661378,266939,2669.39,322,9115.864732,5469.518839,711632,7116.32,252,92722.53195,55633.51917,7238405,72384.05
N2,S0,M,10,41,4314.033744,2588.420246,336776,3367.76,363,13429.89848,8057.939086,1048408,10484.08,207,89303.09632,53581.85779,6971466,69714.66
N2,S0,M,20,70,12658.45379,7595.072276,988185,9881.85,433,26088.35227,15653.01136,2036593,20365.93,166,84989.06258,50993.43755,6634690,66346.9
N2,S0,M,50,61,25246.17186,15147.70312,1970848,19708.48,494,51334.52413,30800.71448,4007441,40074.41,96,72330.60878,43398.36527,5646505,56465.05
N2,S0,M,100,21,17509.47442,10505.68465,1366881,13668.81,515,68843.99855,41306.39913,5374322,53743.22,35,47084.43692,28250.66215,3675657,36756.57
N2,S0,M,200,10,17363.14806,10417.88883,1355458,13554.58,525,86207.14661,51724.28797,6729780,67297.8,14,29574.9625,17744.9775,2308776,23087.76
N2,S0,M,500,4,12211.81444,7327.088665,953318,9533.18,529,98418.96105,59051.37663,7683098,76830.98,4,12211.81444,7327.088665,953318,9533.18
N2,S0,L,1,60,24.99845243,14.99907146,21332,213.32,60,24.99845243,14.99907146,21332,213.32,195,3537.639613,2122.583768,3018784,30187.84
N2,S0,L,2,22,34.72267699,20.83360619,29630,296.3,82,59.72112942,35.83267765,50962,509.62,135,3512.641161,2107.584696,2997452,29974.52
N2,S0,L,3,18,51.68674962,31.01204977,44106,441.06,100,111.407879,66.84472743,95068,950.68,113,3477.918484,2086.75109,2967822,29678.22
N2,S0,L,4,21,99.64576265,59.78745759,85031,850.31,121,211.0536417,126.632185,180099,1800.99,95,3426.231734,2055.73904,2923716,29237.16
N2,S0,L,7,18,120.3387438,72.20324625,102689,1026.89,139,331.3923855,198.8354313,282788,2827.88,74,3326.585971,1995.951583,2838685,28386.85
N2,S0,L,10,5,49.08752932,29.45251759,41888,418.88,144,380.4799148,228.2879489,324676,3246.76,56,3206.247228,1923.748337,2735996,27359.96
N2,S0,L,20,19,305.0533072,183.0319843,260312,2603.12,163,685.533222,411.3199332,584988,5849.88,51,3157.159698,1894.295819,2694108,26941.08
N2,S0,L,50,20,809.2704053,485.5622432,690577,6905.77,183,1494.803627,896.8821764,1275565,12755.65,32,2852.106391,1711.263835,2433796,24337.96
N2,S0,L,100,9,801.0672754,480.6403652,683577,6835.77,192,2295.870903,1377.522542,1959142,19591.42,12,2042.835986,1225.701592,1743219,17432.19
N2,S0,L,200,1,121.0137442,72.6082465,103265,1032.65,193,2416.884647,1450.130788,2062407,20624.07,3,1241.76871,745.0612263,1059642,10596.42
N2,S0,L,500,1,373.0701447,223.8420868,318353,3183.53,194,2789.954792,1673.972875,2380760,23807.6,2,1120.754966,672.4529798,956377,9563.77
N2,S0,L,999,1,747.6848216,448.610893,638024,6380.24,195,3537.639613,2122.583768,3018784,30187.84,1,747.6848216,448.610893,638024,6380.24
N2,S1,H,1,71,765.8961979,459.5377188,25498,254.98,71,765.8961979,459.5377188,25498,254.98,222,60614.8658,36368.91948,2017973,20179.73
N2,S1,H,2,30,1322.13064,793.2783838,44016,440.16,101,2088.026838,1252.816103,69514,695.14,151,59848.96961,35909.38176,1992475,19924.75
N2,S1,H,3,23,1725.534277,1035.320566,57446,574.46,124,3813.561114,2288.136669,126960,1269.6,121,58526.83897,35116.10338,1948459,19484.59
N2,S1,H,4,25,2880.115736,1728.069442,95884,958.84,149,6693.676851,4016.20611,222844,2228.44,98,56801.30469,34080.78281,1891013,18910.13
N2,S1,H,7,14,2539.490476,1523.694286,84544,845.44,163,9233.167327,5539.900396,307388,3073.88,73,53921.18895,32352.71337,1795129,17951.29
N2,S1,H,10,19,4553.264611,2731.958767,151586,1515.86,182,13786.43194,8271.859163,458974,4589.74,59,51381.69848,30829.01909,1710585,17105.85
N2,S1,H,20,26,11178.09551,6706.857306,372138,3721.38,208,24964.52745,14978.71647,831112,8311.12,40,46828.43387,28097.06032,1558999,15589.99
N2,S1,H,50,10,9857.797158,5914.678295,328183,3281.83,218,34822.32461,20893.39476,1159295,11592.95,14,35650.33836,21390.20301,1186861,11868.61
N2,S1,H,100,1,1572.883697,943.7302183,52364,523.64,219,36395.2083,21837.12498,1211659,12116.59,4,25792.5412,15475.52472,858678,8586.78
N2,S1,H,200,2,9799.013769,5879.408261,326226,3262.26,221,46194.22207,27716.53324,1537885,15378.85,3,24219.6575,14531.7945,806314,8063.14
N2,S1,H,500,1,14420.64373,8652.386239,480088,4800.88,222,60614.8658,36368.91948,2017973,20179.73,1,14420.64373,8652.386239,480088,4800.88
N2,S1,M,1,237,1019.993262,611.9959573,79626,796.26,237,1019.993262,611.9959573,79626,796.26,723,82761.83518,49657.10111,6460821,64608.21
N2,S1,M,2,90,1748.473869,1049.084322,136495,1364.95,327,2768.467132,1661.080279,216121,2161.21,486,81741.84192,49045.10515,6381195,63811.95
N2,S1,M,3,62,1927.516466,1156.50988,150472,1504.72,389,4695.983598,2817.590159,366593,3665.93,396,79993.36805,47996.02083,6244700,62447
N2,S1,M,4,81,4111.228965,2466.737379,320944,3209.44,470,8807.212563,5284.327538,687537,6875.37,334,78065.85159,46839.51095,6094228,60942.28
N2,S1,M,7,56,4186.704316,2512.022589,326836,3268.36,526,12993.91688,7796.350127,1014373,10143.73,253,73954.62262,44372.77357,5773284,57732.84
N2,S1,M,10,44,4766.808991,2860.085395,372122,3721.22,570,17760.72587,10656.43552,1386495,13864.95,197,69767.9183,41860.75098,5446448,54464.48
N2,S1,M,20,76,13461.0391,8076.623462,1050839,10508.39,646,31221.76497,18733.05898,2437334,24373.34,153,65001.10931,39000.66559,5074326,50743.26
N2,S1,M,50,56,23409.92523,14045.95514,1827501,18275.01,702,54631.69021,32779.01412,4264835,42648.35,77,51540.07021,30924.04213,4023487,40234.87
N2,S1,M,100,13,11042.3436,6625.406163,862023,8620.23,715,65674.03381,39404.42029,5126858,51268.58,21,28130.14498,16878.08699,2195986,21959.86
N2,S1,M,200,7,10917.10217,6550.261305,852246,8522.46,722,76591.13599,45954.68159,5979104,59791.04,8,17087.80137,10252.68082,1333963,13339.63
N2,S1,M,500,1,6170.699197,3702.419518,481717,4817.17,723,82761.83518,49657.10111,6460821,64608.21,1,6170.699197,3702.419518,481717,4817.17
N2,S1,L,1,186,82.11450217,49.2687013,70071,700.71,186,82.11450217,49.2687013,70071,700.71,496,5752.949921,3451.769952,4909181,49091.81
N2,S1,L,2,71,117.9082736,70.74496413,100615,1006.15,257,200.0227757,120.0136654,170686,1706.86,310,5670.835419,3402.501251,4839110,48391.1
N2,S1,L,3,66,189.7301915,113.8381149,161903,1619.03,323,389.7529672,233.8517803,332589,3325.89,239,5552.927145,3331.756287,4738495,47384.95
N2,S1,L,4,54,252.0505412,151.2303247,215083,2150.83,377,641.8035084,385.082105,547672,5476.72,173,5363.196954,3217.918172,4576592,45765.92
N2,S1,L,7,25,171.3282273,102.7969364,146200,1462,402,813.1317357,487.8790414,693872,6938.72,119,5111.146412,3066.687847,4361509,43615.09
N2,S1,L,10,26,242.5724105,145.5434463,206995,2069.95,428,1055.704146,633.4224877,900867,9008.67,94,4939.818185,2963.890911,4215309,42153.09
N2,S1,L,20,41,704.5879209,422.7527525,601248,6012.48,469,1760.292067,1056.17524,1502115,15021.15,68,4697.245775,2818.347465,4008314,40083.14
N2,S1,L,50,19,652.6164055,391.5698433,556899,5568.99,488,2412.908473,1447.745084,2059014,20590.14,27,3992.657854,2395.594712,3407066,34070.66
N2,S1,L,100,5,422.374471,253.4246826,360426,3604.26,493,2835.282944,1701.169766,2419440,24194.4,8,3340.041448,2004.024869,2850167,28501.67
N2,S1,L,200,1,175.8926832,105.5356099,150095,1500.95,494,3011.175627,1806.705376,2569535,25695.35,3,2917.666977,1750.600186,2489741,24897.41
N2,S1,L,500,1,368.9322516,221.359351,314822,3148.22,495,3380.107878,2028.064727,2884357,28843.57,2,2741.774294,1645.064576,2339646,23396.46
N2,S1,L,999,1,2372.842042,1423.705225,2024824,20248.24,496,5752.949921,3451.769952,4909181,49091.81,1,2372.842042,1423.705225,2024824,20248.24
N2,S2,H,1,34,369.6414861,221.7848916,12306,184.59,34,369.6414861,221.7848916,12306,184.59,126,25185.51334,15111.30801,838469,12577.035
N2,S2,H,2,13,544.1894038,326.5136423,18117,271.755,47,913.8308899,548.2985339,30423,456.345,92,24815.87186,14889.52311,826163,12392.445
N2,S2,H,3,14,1029.505306,617.7031835,34274,514.11,61,1943.336196,1166.001717,64697,970.455,79,24271.68245,14563.00947,808046,12120.69
N2,S2,H,4,13,1493.584695,896.1508169,49724,745.86,74,3436.92089,2062.152534,114421,1716.315,65,23242.17715,13945.30629,773772,11606.58
N2,S2,H,7,11,2002.870523,1201.722314,66679,1000.185,85,5439.791413,3263.874848,181100,2716.5,52,21748.59245,13049.15547,724048,10860.72
N2,S2,H,10,15,3858.767553,2315.260532,128465,1926.975,100,9298.558966,5579.13538,309565,4643.475,41,19745.72193,11847.43316,657369,9860.535
N2,S2,H,20,16,6157.267159,3694.360296,204986,3074.79,116,15455.82613,9273.495675,514551,7718.265,26,15886.95438,9532.172626,528904,7933.56
N2,S2,H,50,9,8017.940153,4810.764092,266931,4003.965,125,23473.76628,14084.25977,781482,11722.23,10,9729.687217,5837.81233,323918,4858.77
N2,S2,H,100,1,1711.747064,1027.048238,56987,854.805,126,25185.51334,15111.30801,838469,12577.035,1,1711.747064,1027.048238,56987,854.805
N2,S2,M,1,340,1657.857333,994.7143997,129421,1941.315,340,1657.857333,994.7143997,129421,1941.315,1125,127354.7273,76412.83636,9941975,149129.625
N2,S2,M,2,159,2938.120144,1762.872086,229365,3440.475,499,4595.977477,2757.586486,358786,5381.79,785,125696.8699,75418.12196,9812554,147188.31
N2,S2,M,3,96,3038.113455,1822.868073,237171,3557.565,595,7634.090932,4580.454559,595957,8939.355,626,122758.7498,73655.24987,9583189,143747.835
N2,S2,M,4,138,6848.670757,4109.202454,534643,8019.645,733,14482.76169,8689.657013,1130600,16959,530,119720.6363,71832.3818,9346018,140190.27
N2,S2,M,7,92,7072.560469,4243.536282,552121,8281.815,825,21555.32216,12933.19329,1682721,25240.815,392,112871.9656,67723.17934,8811375,132170.625
N2,S2,M,10,56,5919.332461,3551.599476,462094,6931.41,881,27474.65462,16484.79277,2144815,32172.225,300,105799.4051,63479.64306,8259254,123888.81
N2,S2,M,20,121,21837.02251,13102.2135,1704712,25570.68,1002,49311.67712,29587.00627,3849527,57742.905,244,99880.07264,59928.04359,7797160,116957.4
N2,S2,M,50,86,32520.92224,19512.55334,2538753,38081.295,1088,81832.59937,49099.55962,6388280,95824.2,123,78043.05014,46825.83008,6092448,91386.72
N2,S2,M,100,29,26396.59453,15837.95672,2060656,30909.84,1117,108229.1939,64937.51633,8448936,126734.04,37,45522.1279,27313.27674,3553695,53305.425
N2,S2,M,200,7,12955.62838,7773.377029,1011384,15170.76,1124,121184.8223,72710.89336,9460320,141904.8,8,19125.53337,11475.32002,1493039,22395.585
N2,S2,M,500,1,6169.90499,3701.942994,481655,7224.825,1125,127354.7273,76412.83636,9941975,149129.625,1,6169.90499,3701.942994,481655,7224.825
N2,S2,L,1,287,116.0180381,69.61082283,99002,1485.03,287,116.0180381,69.61082283,99002,1485.03,723,4354.792054,2612.875233,3716087,55741.305
N2,S2,L,2,98,166.579787,99.9478722,142148,2132.22,385,282.5978251,169.558695,241150,3617.25,436,4238.774016,2543.26441,3617085,54256.275
N2,S2,L,3,66,191.0520672,114.6312403,163031,2445.465,451,473.6498923,284.1899354,404181,6062.715,338,4072.194229,2443.316538,3474937,52124.055
N2,S2,L,4,86,389.8373422,233.9024053,332661,4989.915,537,863.4872345,518.0923407,736842,11052.63,272,3881.142162,2328.685297,3311906,49678.59
N2,S2,L,7,49,339.9728593,203.9837156,290110,4351.65,586,1203.460094,722.0760563,1026952,15404.28,186,3491.30482,2094.782892,2979245,44688.675
N2,S2,L,10,41,398.9568789,239.3741274,340443,5106.645,627,1602.416973,961.4501837,1367395,20510.925,137,3151.331961,1890.799176,2689135,40337.025
N2,S2,L,20,60,1028.446317,617.0677905,877607,13164.105,687,2630.86329,1578.517974,2245002,33675.03,96,2752.375082,1651.425049,2348692,35230.38
N2,S2,L,50,29,1012.651777,607.5910661,864129,12961.935,716,3643.515067,2186.10904,3109131,46636.965,36,1723.928764,1034.357258,1471085,22066.275
N2,S2,L,100,4,301.0220548,180.6132329,256872,3853.08,720,3944.537122,2366.722273,3366003,50490.045,7,711.2769874,426.7661924,606956,9104.34
N2,S2,L,200,3,410.2549326,246.1529595,350084,5251.26,723,4354.792054,2612.875233,3716087,55741.305,3,410.2549326,246.1529595,350084,5251.26
N2,S3,H,1,6,66.23268948,39.73961369,2205,44.1,6,66.23268948,39.73961369,2205,44.1,31,9070.093734,5442.056241,301959,6039.18
N2,S3,H,2,6,284.304946,170.5829676,9465,189.3,12,350.5376355,210.3225813,11670,233.4,25,9003.861045,5402.316627,299754,5995.08
N2,S3,H,3,3,233.091007,139.8546042,7760,155.2,15,583.6286425,350.1771855,19430,388.6,19,8719.556099,5231.733659,290289,5805.78
N2,S3,H,4,4,495.0180148,297.0108089,16480,329.6,19,1078.646657,647.1879944,35910,718.2,16,8486.465092,5091.879055,282529,5650.58
N2,S3,H,7,4,684.7348705,410.8409223,22796,455.92,23,1763.381528,1058.028917,58706,1174.12,12,7991.447077,4794.868246,266049,5320.98
N2,S3,H,10,1,298.9031715,179.3419029,9951,199.02,24,2062.284699,1237.37082,68657,1373.14,8,7306.712206,4384.027324,243253,4865.06
N2,S3,H,20,4,1714.660701,1028.796421,57084,1141.68,28,3776.945401,2266.16724,125741,2514.82,7,7007.809035,4204.685421,233302,4666.04
N2,S3,H,50,1,702.8174461,421.6904676,23398,467.96,29,4479.762847,2687.857708,149139,2982.78,3,5293.148334,3175.889,176218,3524.36
N2,S3,H,100,2,4590.330888,2754.198533,152820,3056.4,31,9070.093734,5442.056241,301959,6039.18,2,4590.330888,2754.198533,152820,3056.4
N2,S3,M,1,102,461.4987222,276.8992333,36027,720.54,102,461.4987222,276.8992333,36027,720.54,404,60602.00568,36361.20341,4730909,94618.18
N2,S3,M,2,40,732.0289222,439.2173533,57146,1142.92,142,1193.527644,716.1165867,93173,1863.46,302,60140.50696,36084.30417,4694882,93897.64
N2,S3,M,3,37,1202.725082,721.6350492,93891,1877.82,179,2396.252727,1437.751636,187064,3741.28,262,59408.47803,35645.08682,4637736,92754.72
N2,S3,M,4,46,2360.372472,1416.223483,184263,3685.26,225,4756.625199,2853.975119,371327,7426.54,225,58205.75295,34923.45177,4543845,90876.9
N2,S3,M,7,27,1979.050298,1187.430179,154495,3089.9,252,6735.675497,4041.405298,525822,10516.44,179,55845.38048,33507.22829,4359582,87191.64
N2,S3,M,10,31,3264.001497,1958.400898,254805,5096.1,283,9999.676994,5999.806196,780627,15612.54,152,53866.33018,32319.79811,4205087,84101.74
N2,S3,M,20,48,8357.498858,5014.499315,652430,13048.6,331,18357.17585,11014.30551,1433057,28661.14,121,50602.32868,30361.39721,3950282,79005.64
N2,S3,M,50,50,18798.23013,11278.93808,1467488,29349.76,381,37155.40598,22293.24359,2900545,58010.9,73,42244.82983,25346.8979,3297852,65957.04
N2,S3,M,100,19,16403.10467,9841.8628,1280512,25610.24,400,53558.51065,32135.10639,4181057,83621.14,23,23446.5997,14067.95982,1830364,36607.28
N2,S3,M,200,4,7043.495029,4226.097018,549852,10997.04,404,60602.00568,36361.20341,4730909,94618.18,4,7043.495029,4226.097018,549852,10997.04
N2,S3,L,1,120,46.34534018,27.80720411,39548,790.96,120,46.34534018,27.80720411,39548,790.96,361,2880.987268,1728.592361,2458441,49168.82
N2,S3,L,2,50,85.90317631,51.54190579,73304,1466.08,170,132.2485165,79.3491099,112852,2257.04,241,2834.641928,1700.785157,2418893,48377.86
N2,S3,L,3,32,90.97739809,54.58643886,77634,1552.68,202,223.2259146,133.9355488,190486,3809.72,191,2748.738751,1649.243251,2345589,46911.78
N2,S3,L,4,48,213.3751275,128.0250765,182080,3641.6,250,436.601042,261.9606252,372566,7451.32,159,2657.761353,1594.656812,2267955,45359.1
N2,S3,L,7,25,176.0567458,105.6340475,150235,3004.7,275,612.6577878,367.5946727,522801,10456.02,111,2444.386226,1466.631735,2085875,41717.5
N2,S3,L,10,21,208.6231715,125.1739029,178025,3560.5,296,821.2809593,492.7685756,700826,14016.52,86,2268.32948,1360.997688,1935640,38712.8
N2,S3,L,20,39,675.2148565,405.1289139,576183,11523.66,335,1496.495816,897.8974895,1277009,25540.18,65,2059.706308,1235.823785,1757615,35152.3
N2,S3,L,50,20,699.1984645,419.5190787,596649,11932.98,355,2195.69428,1317.416568,1873658,37473.16,26,1384.491452,830.6948712,1181432,23628.64
N2,S3,L,100,5,336.9693419,202.1816051,287547,5750.94,360,2532.663622,1519.598173,2161205,43224.1,6,685.2929875,411.1757925,584783,11695.66
N2,S3,L,500,1,348.3236456,208.9941873,297236,5944.72,361,2880.987268,1728.592361,2458441,49168.82,1,348.3236456,208.9941873,297236,5944.72
N2,S4,H,1,6,68.09501454,40.85700872,2267,56.675,6,68.09501454,40.85700872,2267,56.675,26,10252.36977,6151.421862,341319,8532.975
N2,S4,H,2,2,71.33906464,42.80343878,2375,59.375,8,139.4340792,83.66044751,4642,116.05,20,10184.27476,6110.564853,339052,8476.3
N2,S4,H,3,1,63.4992769,38.09956614,2114,52.85,9,202.9333561,121.7600136,6756,168.9,18,10112.93569,6067.761414,336677,8416.925
N2,S4,H,4,4,435.7840631,261.4704378,14508,362.7,13,638.7174191,383.2304515,21264,531.6,17,10049.43641,6029.661848,334563,8364.075
N2,S4,H,7,3,538.0917911,322.8550747,17914,447.85,16,1176.80921,706.0855262,39178,979.45,13,9613.652351,5768.19141,320055,8001.375
N2,S4,H,10,2,496.6100024,297.9660014,16533,413.325,18,1673.419213,1004.051528,55711,1392.775,10,9075.560559,5445.336336,302141,7553.525
N2,S4,H,20,3,1167.767922,700.6607535,38877,971.925,21,2841.187135,1704.712281,94588,2364.7,8,8578.950557,5147.370334,285608,7140.2
N2,S4,H,50,4,4088.85481,2453.312886,136125,3403.125,25,6930.041945,4158.025167,230713,5767.825,5,7411.182635,4446.709581,246731,6168.275
N2,S4,H,200,1,3322.327825,1993.396695,110606,2765.15,26,10252.36977,6151.421862,341319,8532.975,1,3322.327825,1993.396695,110606,2765.15
N2,S4,M,1,127,602.5858771,361.5515262,47041,1176.025,127,602.5858771,361.5515262,47041,1176.025,611,151430.6213,90858.37276,11821465,295536.625
N2,S4,M,2,66,1226.807509,736.0845054,95771,2394.275,193,1829.393386,1097.636032,142812,3570.3,484,150828.0354,90496.82124,11774424,294360.6
N2,S4,M,3,42,1319.307086,791.5842518,102992,2574.8,235,3148.700472,1889.220283,245804,6145.1,418,149601.2279,89760.73673,11678653,291966.325
N2,S4,M,4,58,2839.407813,1703.644688,221659,5541.475,293,5988.108285,3592.864971,467463,11686.575,376,148281.9208,88969.15248,11575661,289391.525
N2,S4,M,7,33,2555.312033,1533.18722,199481,4987.025,326,8543.420318,5126.052191,666944,16673.6,318,145442.513,87265.50779,11354002,283850.05
N2,S4,M,10,74,7982.671253,4789.602752,623169,15579.225,400,16526.09157,9915.654943,1290113,32252.825,285,142887.201,85732.32057,11154521,278863.025
N2,S4,M,20,86,15245.30356,9147.182135,1190128,29753.2,486,31771.39513,19062.83708,2480241,62006.025,211,134904.5297,80942.71782,10531352,263283.8
N2,S4,M,50,76,29951.32728,17970.79637,2338157,58453.925,562,61722.72241,37033.63345,4818398,120459.95,125,119659.2261,71795.53568,9341224,233530.6
N2,S4,M,100,26,23093.89462,13856.33677,1802830,45070.75,588,84816.61703,50889.97022,6621228,165530.7,49,89707.89886,53824.73932,7003067,175076.675
N2,S4,M,200,13,22945.31373,13767.18824,1791231,44780.775,601,107761.9308,64657.15845,8412459,210311.475,23,66614.00424,39968.40255,5200237,130005.925
N2,S4,M,500,9,36729.3776,22037.62656,2867287,71682.175,610,144491.3084,86694.78502,11279746,281993.65,10,43668.69051,26201.21431,3409006,85225.15
N2,S4,M,999,1,6939.312913,4163.587748,541719,13542.975,611,151430.6213,90858.37276,11821465,295536.625,1,6939.312913,4163.587748,541719,13542.975
N2,S4,L,1,141,65.27230461,39.16338277,55699,1392.475,141,65.27230461,39.16338277,55699,1392.475,558,7446.379448,4467.827669,6354240,158856
N2,S4,L,2,77,130.3758591,78.22551548,111254,2781.35,218,195.6481637,117.3888982,166953,4173.825,417,7381.107143,4428.664286,6298541,157463.525
N2,S4,L,3,40,115.8024129,69.48144775,98818,2470.45,258,311.4505767,186.870346,265771,6644.275,340,7250.731284,4350.438771,6187287,154682.175
N2,S4,L,4,64,289.2083759,173.5250255,246791,6169.775,322,600.6589525,360.3953715,512562,12814.05,300,7134.928871,4280.957323,6088469,152211.725
N2,S4,L,7,55,381.7256186,229.0353712,325739,8143.475,377,982.3845712,589.4307427,838301,20957.525,236,6845.720495,4107.432297,5841678,146041.95
N2,S4,L,10,41,411.7900897,247.0740538,351394,8784.85,418,1394.174661,836.5047965,1189695,29742.375,181,6463.994877,3878.396926,5515939,137898.475
N2,S4,L,20,60,1028.671318,617.2027906,877799,21944.975,478,2422.845978,1453.707587,2067494,51687.35,140,6052.204787,3631.322872,5164545,129113.625
N2,S4,L,50,51,1899.428869,1139.657321,1620845,40521.125,529,4322.274847,2593.364908,3688339,92208.475,80,5023.533469,3014.120082,4286746,107168.65
N2,S4,L,100,19,1399.75982,839.8558923,1194461,29861.525,548,5722.034668,3433.220801,4882800,122070,29,3124.104601,1874.46276,2665901,66647.525
N2,S4,L,200,10,1724.34478,1034.606868,1471440,36786,558,7446.379448,4467.827669,6354240,158856,10,1724.34478,1034.606868,1471440,36786
N2,S5,H,10,1,276.2248583,165.734915,9196,229.9,1,276.2248583,165.734915,9196,229.9,4,2079.5863,1247.75178,69233,1730.825
N2,S5,H,20,2,871.5981636,522.9588982,29017,725.425,3,1147.823022,688.6938131,38213,955.325,3,1803.361442,1082.016865,60037,1500.925
N2,S5,H,50,1,931.7632779,559.0579668,31020,775.5,4,2079.5863,1247.75178,69233,1730.825,1,931.7632779,559.0579668,31020,775.5
N2,S5,M,1,27,117.5811689,70.54870133,9179,229.475,27,117.5811689,70.54870133,9179,229.475,142,32470.92559,19482.55535,2534850,63371.25
N2,S5,M,2,13,244.2060577,146.5236346,19064,476.6,40,361.7872266,217.072336,28243,706.075,115,32353.34442,19412.00665,2525671,63141.775
N2,S5,M,3,23,720.1414263,432.0848558,56218,1405.45,63,1081.928653,649.1571918,84461,2111.525,102,32109.13836,19265.48302,2506607,62665.175
N2,S5,M,4,13,664.5596972,398.7358183,51879,1296.975,76,1746.48835,1047.89301,136340,3408.5,79,31388.99693,18833.39816,2450389,61259.725
N2,S5,M,7,12,926.5841889,555.9505134,72334,1808.35,88,2673.072539,1603.843523,208674,5216.85,66,30724.43724,18434.66234,2398510,59962.75
N2,S5,M,10,6,626.348059,375.8088354,48896,1222.4,94,3299.420598,1979.652359,257570,6439.25,54,29797.85305,17878.71183,2326176,58154.4
N2,S5,M,20,19,3520.248768,2112.149261,274809,6870.225,113,6819.669366,4091.80162,532379,13309.475,48,29171.50499,17502.90299,2277280,56932
N2,S5,M,50,17,6536.713658,3922.028195,510290,12757.25,130,13356.38302,8013.829815,1042669,26066.725,29,25651.25622,15390.75373,2002471,50061.775
N2,S5,M,100,8,6465.59364,3879.356184,504738,12618.45,138,19821.97666,11893.186,1547407,38685.175,12,19114.54256,11468.72554,1492181,37304.525
N2,S5,M,200,2,3918.351782,2351.011069,305887,7647.175,140,23740.32845,14244.19707,1853294,46332.35,4,12648.94892,7589.369353,987443,24686.075
