indu,size,risk,credlim,n,wotot,wotot_mr,expneed,exprev,cum_n,cum_wotot,cum_wotot_mr,cum_expneed,cum_exprev,over_n,over_wotot,over_wotot_mr,over_expneed,over_exprev
N1,S1,M,3,39,1217.328256,730.3969535,95031,950.31,313,3455.866705,2073.520023,269783,2697.83,222,41657.09051,24994.25431,3251970,32519.7
N1,S1,M,4,49,2409.972024,1445.983214,188135,1881.35,362,5865.838729,3519.503237,457918,4579.18,183,40439.76225,24263.85735,3156939,31569.39
N1,S1,M,7,23,1775.989323,1065.593594,138643,1386.43,385,7641.828052,4585.096831,596561,5965.61,134,38029.79023,22817.87414,2968804,29688.04
N1,S1,M,10,30,3113.9731,1868.38386,243093,2430.93,415,10755.80115,6453.480692,839654,8396.54,111,36253.80091,21752.28054,2830161,28301.61
N1,S1,M,20,41,7275.27558,4365.165348,567946,5679.46,456,18031.07673,10818.64604,1407600,14076,81,33139.82781,19883.89668,2587068,25870.68
N1,S1,M,50,29,11854.40817,7112.6449,925417,9254.17,485,29885.4849,17931.29094,2333017,23330.17,40,25864.55223,15518.73134,2019122,20191.22
N1,S1,M,100,7,6581.522344,3948.913407,513788,5137.88,492,36467.00724,21880.20435,2846805,28468.05,11,14010.14406,8406.086435,1093705,10937.05
N1,S1,M,200,4,7428.621714,4457.173029,579917,5799.17,496,43895.62896,26337.37738,3426722,34267.22,4,7428.621714,4457.173029,579917,5799.17
N1,S1,L,1,188,82.63481499,49.58088899,70515,705.15,188,82.63481499,49.58088899,70515,705.15,392,1858.703845,1115.222307,1586093,15860.93
N1,S1,L,2,45,75.09613861,45.05768316,64082,640.82,233,157.7309536,94.63857216,134597,1345.97,204,1776.06903,1065.641418,1515578,15155.78
N1,S1,L,3,33,95.65786964,57.39472178,81628,816.28,266,253.3888232,152.0332939,216225,2162.25,159,1700.972891,1020.583735,1451496,14514.96
N1,S1,L,4,45,201.2274639,120.7364784,171714,1717.14,311,454.6162872,272.7697723,387939,3879.39,126,1605.315021,963.1890128,1369868,13698.68
N1,S1,L,7,25,176.5536211,105.9321727,150659,1506.59,336,631.1699083,378.701945,538598,5385.98,81,1404.087557,842.4525345,1198154,11981.54
N1,S1,L,10,21,206.7962173,124.0777304,176466,1764.66,357,837.9661255,502.7796753,715064,7150.64,56,1227.533936,736.5203618,1047495,10474.95
N1,S1,L,20,23,344.4377057,206.6626234,293920,2939.2,380,1182.403831,709.4422988,1008984,10089.84,35,1020.737719,612.4426315,871029,8710.29
N1,S1,L,50,9,350.2935686,210.1761412,298917,2989.17,389,1532.6974,919.6184399,1307901,13079.01,12,676.3000134,405.780008,577109,5771.09
N1,S1,L,100,2,134.4047678,80.64286067,114692,1146.92,391,1667.102168,1000.261301,1422593,14225.93,3,326.0064447,195.6038668,278192,2781.92
N1,S1,L,200,1,191.601677,114.9610062,163500,1635,392,1858.703845,1115.222307,1586093,15860.93,1,191.601677,114.9610062,163500,1635
N1,S2,H,1,34,386.1621116,231.6972669,12856,192.84,34,386.1621116,231.6972669,12856,192.84,80,9395.550057,5637.330034,312794,4691.91
N1,S2,H,2,9,353.2710481,211.9626289,11761,176.415,43,739.4331597,443.6598958,24617,369.255,46,9009.387945,5405.632767,299938,4499.07
N1,S2,H,3,4,316.1747345,189.7048407,10526,157.89,47,1055.607894,633.3647365,35143,527.145,37,8656.116897,5193.670138,288177,4322.655
N1,S2,H,4,11,1388.303254,832.9819525,46219,693.285,58,2443.911148,1466.346689,81362,1220.43,33,8339.942162,5003.965297,277651,4164.765
N1,S2,H,7,6,1035.392656,621.2355936,34470,517.05,64,3479.303804,2087.582283,115832,1737.48,22,6951.638908,4170.983345,231432,3471.48
N1,S2,H,10,7,1796.242554,1077.745532,59800,897,71,5275.546358,3165.327815,175632,2634.48,16,5916.246252,3549.747751,196962,2954.43
N1,S2,H,20,9,4120.003698,2472.002219,137162,2057.43,80,9395.550057,5637.330034,312794,4691.91,9,4120.003698,2472.002219,137162,2057.43
N1,S2,M,1,305,1444.638185,866.7829111,112776,1691.64,305,1444.638185,866.7829111,112776,1691.64,903,74927.09152,44956.25491,5849200,87738
N1,S2,M,2,108,2037.450184,1222.47011,159054,2385.81,413,3482.088369,2089.253021,271830,4077.45,598,73482.45333,44089.472,5736424,86046.36
N1,S2,M,3,95,3012.698809,1807.619285,235187,3527.805,508,6494.787178,3896.872307,507017,7605.255,490,71445.00315,42867.00189,5577370,83660.55
N1,S2,M,4,112,5733.039516,3439.82371,447551,6713.265,620,12227.82669,7336.696016,954568,14318.52,395,68432.30434,41059.3826,5342183,80132.745
N1,S2,M,7,64,4928.90422,2957.342532,384776,5771.64,684,17156.73091,10294.03855,1339344,20090.16,283,62699.26483,37619.5589,4894632,73419.48
N1,S2,M,10,61,6425.422102,3855.253261,501602,7524.03,745,23582.15302,14149.29181,1840946,27614.19,219,57770.3606,34662.21636,4509856,67647.84
N1,S2,M,20,92,16688.10994,10012.86597,1302761,19541.415,837,40270.26296,24162.15778,3143707,47155.605,158,51344.9385,30806.9631,4008254,60123.81
N1,S2,M,50,49,18098.14885,10858.88931,1412836,21192.54,886,58368.41181,35021.04709,4556543,68348.145,66,34656.82856,20794.09714,2705493,40582.395
N1,S2,M,100,15,12784.23324,7670.539942,998004,14970.06,901,71152.64505,42691.58703,5554547,83318.205,17,16558.67971,9935.207824,1292657,19389.855
N1,S2,M,200,2,3774.446471,2264.667883,294653,4419.795,903,74927.09152,44956.25491,5849200,87738,2,3774.446471,2264.667883,294653,4419.795
N1,S2,L,1,271,103.7168588,62.2301153,88505,1327.575,271,103.7168588,62.2301153,88505,1327.575,660,3378.900846,2027.340508,2883327,43249.905
N1,S2,L,2,113,186.3821426,111.8292855,159046,2385.69,384,290.0990014,174.0594008,247551,3713.265,389,3275.183988,1965.110393,2794822,41922.33
N1,S2,L,3,70,203.479809,122.0878854,173636,2604.54,454,493.5788105,296.1472863,421187,6317.805,276,3088.801845,1853.281107,2635776,39536.64
N1,S2,L,4,49,219.6434906,131.7860943,187429,2811.435,503,713.222301,427.9333806,608616,9129.24,206,2885.322036,1731.193222,2462140,36932.1
N1,S2,L,7,48,340.7064535,204.4238721,290736,4361.04,551,1053.928755,632.3572527,899352,13490.28,157,2665.678545,1599.407127,2274711,34120.665
N1,S2,L,10,33,328.0994147,196.8596488,279978,4199.67,584,1382.028169,829.2169016,1179330,17689.95,109,2324.972092,1394.983255,1983975,29759.625
N1,S2,L,20,46,749.3582601,449.6149561,639452,9591.78,630,2131.386429,1278.831858,1818782,27281.73,76,1996.872677,1198.123606,1703997,25559.955
N1,S2,L,50,26,910.7982003,546.4789202,777214,11658.21,656,3042.18463,1825.310778,2595996,38939.94,30,1247.514417,748.5086502,1064545,15968.175
N1,S2,L,100,3,215.4388006,129.2632803,183841,2757.615,659,3257.62343,1954.574058,2779837,41697.555,4,336.7162168,202.0297301,287331,4309.965
N1,S2,L,200,1,121.2774162,72.76644972,103490,1552.35,660,3378.900846,2027.340508,2883327,43249.905,1,121.2774162,72.76644972,103490,1552.35
N1,S3,H,1,4,40.1901762,24.11410572,1338,26.76,4,40.1901762,24.11410572,1338,26.76,16,2311.926369,1387.155822,76968,1539.36
N1,S3,H,2,2,86.14755258,51.68853155,2868,57.36,6,126.3377288,75.80263727,4206,84.12,12,2271.736193,1363.041716,75630,1512.6
N1,S3,H,3,1,72.78086468,43.66851881,2423,48.46,7,199.1185935,119.4711561,6629,132.58,10,2185.58864,1311.353184,72762,1455.24
N1,S3,H,4,3,315.3937595,189.2362557,10500,210,10,514.5123529,308.7074117,17129,342.58,9,2112.807776,1267.684665,70339,1406.78
N1,S3,H,7,4,674.1917077,404.5150246,22445,448.9,14,1188.704061,713.2224364,39574,791.48,6,1797.414016,1078.44841,59839,1196.78
N1,S3,H,20,1,393.1608493,235.8965096,13089,261.78,15,1581.86491,949.1189459,52663,1053.26,2,1123.222309,673.9333852,37394,747.88
N1,S3,H,50,1,730.0614594,438.0368756,24305,486.1,16,2311.926369,1387.155822,76968,1539.36,1,730.0614594,438.0368756,24305,486.1
N1,S3,M,1,103,445.6658075,267.3994845,34791,695.82,103,445.6658075,267.3994845,34791,695.82,347,39344.3705,23606.6223,3071427,61428.54
N1,S3,M,2,49,932.2973604,559.3784163,72780,1455.6,152,1377.963168,826.7779007,107571,2151.42,244,38898.70469,23339.22281,3036636,60732.72
N1,S3,M,3,34,1096.416539,657.8499231,85592,1711.84,186,2474.379706,1484.627824,193163,3863.26,195,37966.40733,22779.8444,2963856,59277.12
N1,S3,M,4,37,1880.389206,1128.233524,146793,2935.86,223,4354.768913,2612.861348,339956,6799.12,161,36869.99079,22121.99448,2878264,57565.28
N1,S3,M,7,25,1886.166427,1131.699856,147244,2944.88,248,6240.93534,3744.561204,487200,9744,124,34989.60159,20993.76095,2731471,54629.42
N1,S3,M,10,29,2976.45988,1785.875928,232358,4647.16,277,9217.39522,5530.437132,719558,14391.16,99,33103.43516,19862.0611,2584227,51684.54
N1,S3,M,20,33,6046.021398,3627.612839,471984,9439.68,310,15263.41662,9158.049971,1191542,23830.84,70,30126.97528,18076.18517,2351869,47037.38
N1,S3,M,50,25,10677.55888,6406.535331,833546,16670.92,335,25940.9755,15564.5853,2025088,40501.76,37,24080.95388,14448.57233,1879885,37597.7
N1,S3,M,100,10,9026.785372,5416.071223,704678,14093.56,345,34967.76087,20980.65652,2729766,54595.32,12,13403.395,8042.036998,1046339,20926.78
N1,S3,M,200,2,4376.609624,2625.965775,341661,6833.22,347,39344.3705,23606.6223,3071427,61428.54,2,4376.609624,2625.965775,341661,6833.22
N1,S3,L,1,87,32.7785352,19.66712112,27971,559.42,87,32.7785352,19.66712112,27971,559.42,305,2510.501109,1506.300665,2142293,42845.86
N1,S3,L,2,41,69.7195729,41.83174374,59494,1189.88,128,102.4981081,61.49886486,87465,1749.3,218,2477.722574,1486.633544,2114322,42286.44
N1,S3,L,3,30,86.3426297,51.80557782,73679,1473.58,158,188.8407378,113.3044427,161144,3222.88,177,2408.003001,1444.801801,2054828,41096.56
N1,S3,L,4,44,202.6243398,121.5746039,172906,3458.12,202,391.4650776,234.8790466,334050,6681,147,2321.660371,1392.996223,1981149,39622.98
N1,S3,L,7,31,215.9309884,129.558593,184261,3685.22,233,607.3960659,364.4376396,518311,10366.22,103,2119.036031,1271.421619,1808243,36164.86
N1,S3,L,10,18,170.8430708,102.5058425,145786,2915.72,251,778.2391367,466.943482,664097,13281.94,72,1903.105043,1141.863026,1623982,32479.64
N1,S3,L,20,32,513.8171038,308.2902623,438457,8769.14,283,1292.056241,775.2337443,1102554,22051.08,54,1732.261972,1039.357183,1478196,29563.92
N1,S3,L,50,14,528.0073466,316.804408,450566,9011.32,297,1820.063587,1092.038152,1553120,31062.4,22,1218.444868,731.0669211,1039739,20794.78
N1,S3,L,100,6,426.7197861,256.0318717,364134,7282.68,303,2246.783373,1348.070024,1917254,38345.08,8,690.4375218,414.2625131,589173,11783.46
N1,S3,L,200,2,263.7177357,158.2306414,225039,4500.78,305,2510.501109,1506.300665,2142293,42845.86,2,263.7177357,158.2306414,225039,4500.78
N1,S4,H,1,1,28.77592586,17.26555552,958,23.95,1,28.77592586,17.26555552,958,23.95,13,7355.46307,4413.277842,244876,6121.9
N1,S4,H,2,1,42.59317628,25.55590577,1418,35.45,2,71.36910214,42.82146128,2376,59.4,12,7326.687145,4396.012287,243918,6097.95
N1,S4,H,3,3,235.6441946,141.3865167,7845,196.125,5,307.0132967,184.207978,10221,255.525,11,7284.093968,4370.456381,242500,6062.5
N1,S4,H,4,2,246.6679574,148.0007744,8212,205.3,7,553.6812541,332.2087525,18433,460.825,8,7048.449774,4229.069864,234655,5866.375
N1,S4,H,7,2,367.8692735,220.7215641,12247,306.175,9,921.5505276,552.9303166,30680,767,6,6801.781816,4081.06909,226443,5661.075
N1,S4,H,20,3,1220.844187,732.5065119,40644,1016.1,12,2142.394714,1285.436829,71324,1783.1,4,6433.912543,3860.347526,214196,5354.9
N1,S4,H,200,1,5213.068356,3127.841014,173552,4338.8,13,7355.46307,4413.277842,244876,6121.9,1,5213.068356,3127.841014,173552,4338.8
N1,S4,M,1,134,663.0993798,397.8596279,51765,1294.125,134,663.0993798,397.8596279,51765,1294.125,459,74903.48305,44942.08983,5847357,146183.925
N1,S4,M,2,64,1189.556606,713.7339636,92863,2321.575,198,1852.655986,1111.593591,144628,3615.7,325,74240.38367,44544.2302,5795592,144889.8
N1,S4,M,3,33,1029.728711,617.8372269,80386,2009.65,231,2882.384697,1729.430818,225014,5625.35,261,73050.82707,43830.49624,5702729,142568.225
N1,S4,M,4,53,2632.811333,1579.6868,205531,5138.275,284,5515.19603,3309.117618,430545,10763.625,228,72021.09836,43212.65901,5622343,140558.575
N1,S4,M,7,26,1977.154448,1186.292669,154347,3858.675,310,7492.350477,4495.410286,584892,14622.3,175,69388.28702,41632.97221,5416812,135420.3
N1,S4,M,10,38,3981.645012,2388.987007,310828,7770.7,348,11473.99549,6884.397293,895720,22393,149,67411.13258,40446.67955,5262465,131561.625
N1,S4,M,20,45,8034.269134,4820.56148,627197,15679.925,393,19508.26462,11704.95877,1522917,38072.925,111,63429.48757,38057.69254,4951637,123790.925
N1,S4,M,50,36,14831.76473,8899.05884,1157845,28946.125,429,34340.02936,20604.01761,2680762,67019.05,66,55395.21843,33237.13106,4324440,108111
N1,S4,M,100,22,19829.15015,11897.49009,1547967,38699.175,451,54169.17951,32501.50771,4228729,105718.225,30,40563.4537,24338.07222,3166595,79164.875
N1,S4,M,200,6,10867.56667,6520.540003,848379,21209.475,457,65036.74618,39022.04771,5077108,126927.7,8,20734.30354,12440.58213,1618628,40465.7
N1,S4,M,500,1,2689.853379,1613.912028,209984,5249.6,458,67726.59956,40635.95974,5287092,132177.3,2,9866.736873,5920.042124,770249,19256.225
N1,S4,M,999,1,7176.883493,4306.130096,560265,14006.625,459,74903.48305,44942.08983,5847357,146183.925,1,7176.883493,4306.130096,560265,14006.625
N1,S4,L,1,93,39.86252381,23.91751429,34016,850.4,93,39.86252381,23.91751429,34016,850.4,341,3565.516192,2139.309715,3042572,76064.3
N1,S4,L,2,43,74.50668513,44.70401108,63579,1589.475,136,114.3692089,68.62152536,97595,2439.875,248,3525.653668,2115.392201,3008556,75213.9
N1,S4,L,3,28,83.60864369,50.16518622,71346,1783.65,164,197.9778526,118.7867116,168941,4223.525,205,3451.146983,2070.68819,2944977,73624.425
N1,S4,L,4,36,159.1395482,95.48372891,135799,3394.975,200,357.1174008,214.2704405,304740,7618.5,177,3367.53834,2020.523004,2873631,71840.775
N1,S4,L,7,28,195.1899603,117.1139762,166562,4164.05,228,552.3073612,331.3844167,471302,11782.55,141,3208.398791,1925.039275,2737832,68445.8
N1,S4,L,10,33,320.6908166,192.4144899,273656,6841.4,261,872.9981777,523.7989066,744958,18623.95,113,3013.208831,1807.925299,2571270,64281.75
N1,S4,L,20,40,619.1699011,371.5019407,528358,13208.95,301,1492.168079,895.3008473,1273316,31832.9,80,2692.518015,1615.510809,2297614,57440.35
N1,S4,L,50,33,1231.575736,738.9454414,1050944,26273.6,334,2723.743814,1634.246289,2324260,58106.5,40,2073.348113,1244.008868,1769256,44231.4
N1,S4,L,100,4,332.4166048,199.4499629,283662,7091.55,338,3056.160419,1833.696252,2607922,65198.05,7,841.7723778,505.0634267,718312,17957.8
N1,S4,L,200,3,509.355773,305.6134638,434650,10866.25,341,3565.516192,2139.309715,3042572,76064.3,3,509.355773,305.6134638,434650,10866.25
N1,S5,H,1,1,10.21275031,6.127650184,340,8.5,1,10.21275031,6.127650184,340,8.5,2,7942.936513,4765.761908,264434,6610.85
N1,S5,H,500,1,7932.723763,4759.634258,264094,6602.35,2,7942.936513,4765.761908,264434,6610.85,1,7932.723763,4759.634258,264094,6602.35
N1,S5,M,1,28,142.1503684,85.29022101,11097,277.425,28,142.1503684,85.29022101,11097,277.425,109,12623.34213,7574.005277,985444,24636.1
N1,S5,M,2,16,293.8696585,176.3217951,22941,573.525,44,436.0200269,261.6120161,34038,850.95,81,12481.19176,7488.715056,974347,24358.675
N1,S5,M,3,7,243.027556,145.8165336,18972,474.3,51,679.0475828,407.4285497,53010,1325.25,65,12187.3221,7312.393261,951406,23785.15
N1,S5,M,4,12,592.3764652,355.4258791,46244,1156.1,63,1271.424048,762.8544288,99254,2481.35,58,11944.29455,7166.576727,932434,23310.85
N1,S5,M,7,4,328.7379385,197.2427631,25663,641.575,67,1600.161986,960.0971919,124917,3122.925,46,11351.91808,6811.150848,886190,22154.75
N1,S5,M,10,13,1349.960942,809.976565,105385,2634.625,80,2950.122928,1770.073757,230302,5757.55,42,11023.18014,6613.908085,860527,21513.175
