AUTO CREDIT LIMITS
indu,size,risk,credlim,n,wotot,wotot_mr,expneed,exprev,cum_n,cum_wotot,cum_wotot_mr,cum_expneed,cum_exprev,over_n,over_wotot,over_wotot_mr,over_expneed,over_exprev,Type
N2,S5,M,50,17,6536.713658,3922.028195,510290.0,12757.25,130,13356.38302,8013.829815,1042669.0,26066.725,29,25651.25622,15390.75373,2002471.0,50061.775,Optimum
N2,S6,H,20,3,1396.022892,837.6137351,46476.0,1161.9,12,2356.892508,1414.135505,78465.0,1961.625,4,2691.840681,1615.104408,89616.0,2240.4,Optimum
N2,S6,L,200,6,881.6852923,529.0111754,752371.0,18809.275,238,4280.361541,2568.216925,3652573.0,91314.325,11,3457.599331,2074.559599,2950483.0,73762.075,Optimum
N2,S6,M,100,23,18750.59048,11250.35429,1463769.0,36594.225,498,68831.45776,41298.87466,5373343.0,134333.575,52,126941.893,76165.13579,9909747.0,247743.675,Optimum
N3,S0,H,1,48,571.4033796,342.8420278,19023.0,190.23,48,571.4033796,342.8420278,19023.0,190.23,156,55517.14145,33310.28487,1848261.0,18482.61,Excluded
N3,S0,L,20,4,81.24262665,48.74557599,69327.0,693.27,39,220.6911475,132.4146885,188323.0,1883.23,15,812.3489227,487.4093536,693204.0,6932.04,Optimum
N3,S0,M,20,26,4900.159026,2940.095415,382532.0,3825.32,197,10806.10524,6483.663146,843581.0,8435.81,69,66810.30164,40086.18099,5215561.0,52155.61,Optimum
N3,S1,H,1,5,25.86228827,15.51737296,861.0,8.61,5,25.86228827,15.51737296,861.0,8.61,17,7091.1631,4254.69786,236077.0,2360.77,Excluded
N3,S1,L,20,4,51.80979657,31.08587794,44211.0,442.11,42,153.8567325,92.31403952,131291.0,1312.91,9,286.1767334,171.7060401,244204.0,2442.04,Optimum
N3,S1,M,20,8,1494.378645,896.6271869,116659.0,1166.59,61,3399.542007,2039.725204,265386.0,2653.86,21,13298.11124,7978.866742,1038120.0,10381.2,Optimum
N3,S2,H,1,4,48.57063896,29.14238337,1617.0,24.255,4,48.57063896,29.14238337,1617.0,24.255,15,5200.512681,3120.307608,173134.0,2597.01,Excluded
N3,S2,L,50,3,115.9231161,69.55386967,98921.0,1483.815,80,398.7342226,239.2405335,340253.0,5103.795,6,378.6998356,227.2199014,323157.0,4847.355,Optimum
N3,S2,M,50,10,3396.019312,2037.611587,265111.0,3976.665,167,14033.39385,8420.036309,1095520.0,16432.8,18,12424.1369,7454.482142,969893.0,14548.395,Optimum
N3,S3,H,1,2,38.11758864,22.87055319,1269.0,25.38,2,38.11758864,22.87055319,1269.0,25.38,4,1483.462057,890.0772342,49387.0,987.74,Optimum
N3,S3,L,100,4,359.4154491,215.6492694,306701.0,6134.02,57,749.2598226,449.5558935,639368.0,12787.36,6,706.3668282,423.8200969,602766.0,12055.32,Optimum
N3,S3,M,50,9,2904.981187,1742.988712,226778.0,4535.56,66,6258.138903,3754.883342,488543.0,9770.86,11,5035.904493,3021.542696,393129.0,7862.58,Optimum
N3,S4,H,20,1,439.4786757,263.6872054,14631.0,365.775,5,694.6772833,416.80637,23127.0,578.175,3,7537.700588,4522.620353,250943.0,6273.575,Optimum
N3,S4,L,100,6,517.4323403,310.4594042,441542.0,11038.55,79,1452.63368,871.5802081,1239580.0,30989.5,8,1676.314283,1005.78857,1430454.0,35761.35,Optimum
N3,S4,M,100,7,6009.539083,3605.72345,469136.0,11728.4,106,20553.57005,12332.14203,1604519.0,40112.975,15,31823.30045,19093.98027,2484293.0,62107.325,Optimum
N3,S5,L,100,1,110.4914723,66.29488335,94286.0,2357.15,33,496.2553746,297.7532247,423471.0,10586.775,3,532.0444584,319.2266751,454011.0,11350.275,Optimum
N3,S5,M,100,4,3393.329254,2035.997552,264901.0,6622.525,23,6436.745967,3862.04758,502486.0,12562.15,9,53510.15365,32106.09219,4177282.0,104432.05,Optimum
N3,S6,L,200,3,469.8026244,281.8815746,400898.0,10022.45,20,1054.862739,632.9176437,900149.0,22503.725,4,754.37506,452.625036,643733.0,16093.325,Optimum
N3,S6,M,100,6,5180.194098,3108.116459,404393.0,10109.825,50,12686.04611,7611.627664,990339.0,24758.475,9,46649.07019,27989.44212,3641670.0,91041.75,Optimum
MR CREDIT LIMITS
indu,size,risk,credlim,n,wotot,wotot_mr,expneed,exprev,cum_n,cum_wotot,cum_wotot_mr,cum_expneed,cum_exprev,over_n,over_wotot,over_wotot_mr,over_expneed,over_exprev,Type
N1,S0,H,1,39,437.9167256,262.7500354,14579.0,145.79,39,437.9167256,262.7500354,14579.0,145.79,126,42290.30815,25374.18489,1407917.0,14079.17,Excluded
N1,S0,L,50,8,312.6224524,187.5734714,266771.0,2667.71,133,867.9720028,520.7832017,740669.0,7406.69,15,834.2676858,500.5606115,711908.0,7119.08,Optimum
N1,S0,M,50,19,8383.797381,5030.278428,654483.0,6544.83,286,22099.20071,13259.52043,1725179.0,17251.79,32,24580.613,14748.3678,1918891.0,19188.91,Optimum
N1,S1,H,1,54,522.3821782,313.4293069,17391.0,173.91,54,522.3821782,313.4293069,17391.0,173.91,147,21391.2363,12834.74178,712151.0,7121.51,Excluded
N1,S1,L,50,9,350.2935686,210.1761412,298917.0,2989.17,389,1532.6974,919.6184399,1307901.0,13079.01,12,676.3000134,405.780008,577109.0,5771.09,Optimum
N1,S1,M,50,29,11854.40817,7112.6449,925417.0,9254.17,485,29885.4849,17931.29094,2333017.0,23330.17,40,25864.55223,15518.73134,2019122.0,20191.22,Optimum
N1,S2,H,1,34,386.1621116,231.6972669,12856.0,192.84,34,386.1621116,231.6972669,12856.0,192.84,80,9395.550057,5637.330034,312794.0,4691.91,Excluded
N1,S2,L,100,3,215.4388006,129.2632803,183841.0,2757.615,659,3257.62343,1954.574058,2779837.0,41697.555,4,336.7162168,202.0297301,287331.0,4309.965,Optimum
N1,S2,M,100,15,12784.23324,7670.539942,998004.0,14970.06,901,71152.64505,42691.58703,5554547.0,83318.205,17,16558.67971,9935.207824,1292657.0,19389.855,Optimum
N1,S3,H,1,4,40.1901762,24.11410572,1338.0,26.76,4,40.1901762,24.11410572,1338.0,26.76,16,2311.926369,1387.155822,76968.0,1539.36,Optimum
N1,S3,L,100,6,426.7197861,256.0318717,364134.0,7282.68,303,2246.783373,1348.070024,1917254.0,38345.08,8,690.4375218,414.2625131,589173.0,11783.46,Optimum
N1,S3,M,100,10,9026.785372,5416.071223,704678.0,14093.56,345,34967.76087,20980.65652,2729766.0,54595.32,12,13403.395,8042.036998,1046339.0,20926.78,Optimum
N1,S4,H,1,1,28.77592586,17.26555552,958.0,23.95,1,28.77592586,17.26555552,958.0,23.95,13,7355.46307,4413.277842,244876.0,6121.9,Optimum
N1,S4,L,100,4,332.4166048,199.4499629,283662.0,7091.55,338,3056.160419,1833.696252,2607922.0,65198.05,7,841.7723778,505.0634267,718312.0,17957.8,Optimum
N1,S4,M,100,22,19829.15015,11897.49009,1547967.0,38699.175,451,54169.17951,32501.50771,4228729.0,105718.225,30,40563.4537,24338.07222,3166595.0,79164.875,Optimum
N1,S5,H,1,1,10.21275031,6.127650184,340.0,8.5,1,10.21275031,6.127650184,340.0,8.5,2,7942.936513,4765.761908,264434.0,6610.85,Optimum
N1,S5,L,100,2,157.0184532,94.2110719,133989.0,3349.725,84,727.2227,436.33362,620563.0,15514.075,7,973.3341752,584.0005051,830578.0,20764.45,Optimum
N1,S5,M,100,5,4002.691516,2401.614909,312471.0,7811.775,109,12623.34213,7574.005277,985444.0,24636.1,5,4002.691516,2401.614909,312471.0,7811.775,Optimum
N1,S6,H,50,1,689.3606457,413.6163874,22950.0,573.75,4,890.4316767,534.259006,29644.0,741.1,2,31999.91091,19199.94655,1065332.0,26633.3,Optimum
N1,S6,L,200,1,124.9196059,74.95176352,106598.0,2664.95,122,1247.048011,748.2288063,1064147.0,26603.675,1,124.9196059,74.95176352,106598.0,2664.95,Optimum
N1,S6,M,200,4,7776.100393,4665.660236,607043.0,15176.075,316,42993.03753,25795.82252,3356261.0,83906.525,8,28162.02857,16897.21714,2198475.0,54961.875,Optimum
N2,S0,H,1,287,3549.861894,2129.917136,118181.0,1181.81,287,3549.861894,2129.917136,118181.0,1181.81,1210,570733.9338,342440.3603,19000713.0,190007.13,Excluded
N2,S0,L,50,20,809.2704053,485.5622432,690577.0,6905.77,183,1494.803627,896.8821764,1275565.0,12755.65,32,2852.106391,1711.263835,2433796.0,24337.96,Optimum
N2,S0,M,50,61,25246.17186,15147.70312,1970848.0,19708.48,494,51334.52413,30800.71448,4007441.0,40074.41,96,72330.60878,43398.36527,5646505.0,56465.05,Optimum
N2,S1,H,1,71,765.8961979,459.5377188,25498.0,254.98,71,765.8961979,459.5377188,25498.0,254.98,222,60614.8658,36368.91948,2017973.0,20179.73,Excluded
